N,Problem,Strategy,Median_Time_s,P25_Time_s,P75_Time_s,ns_per_element
10000,P1,For,0.0009115044998679878,0.0008835962501052563,0.000974782999890067,91.15044998679878
10000,P1,Comp,0.0008631629999626966,0.0008520622500896025,0.0008953180000617067,86.31629999626966
10000,P1,Gen,0.0009273785000232238,0.0009234412499381506,0.0009348509999540511,92.73785000232238
10000,P1,Numpy,2.3050000663715764e-06,2.3039999632601393e-06,2.3239999791258015e-06,0.23050000663715764
10000,P2,For,0.007134822000011809,0.007108176750136863,0.007167936500025007,713.4822000011809
10000,P2,Comp,0.008272386000044207,0.008241077249977025,0.008292653499893277,827.2386000044207
10000,P2,Gen,0.00848459400003776,0.008441939000078946,0.008518670749992907,848.459400003776
10000,P2,Numpy,7.939999932204955e-06,7.92499986346229e-06,7.975000016813283e-06,0.7939999932204955
10000,P3,For,0.009731940000051509,0.009674349749900557,0.009811930000068969,973.1940000051509
10000,P3,Comp,0.019038293000107842,0.018977584249853408,0.01912552275013013,1903.8293000107842
10000,P3,Gen,0.01915616900009809,0.01902995500012139,0.019216614749836936,1915.616900009809
10000,P3,Numpy,0.00011933450002743484,0.00011876300004587392,0.00012013574996672105,11.933450002743484
100000,P1,For,0.01032434200010357,0.010218354749952141,0.010423127749959349,103.2434200010357
100000,P1,Comp,0.010044896000067638,0.009858751999956894,0.010141135249909894,100.44896000067638
100000,P1,Gen,0.011182830499933516,0.011011580750050598,0.01129160525010775,111.82830499933516
100000,P1,Numpy,2.0248000055289594e-05,2.017549996935486e-05,2.0358750020932348e-05,0.20248000055289594
100000,P2,For,0.07384415350009021,0.07353402150005195,0.0746924257499586,738.4415350009021
100000,P2,Comp,0.08619100699991122,0.08563214324999535,0.0873012437499483,861.9100699991122
100000,P2,Gen,0.08873214649997863,0.08778821249995872,0.08925211725005511,887.3214649997863
100000,P2,Numpy,5.2492999998321466e-05,5.241799999566865e-05,5.945199995949224e-05,0.5249299999832147
100000,P3,For,0.10077462100002776,0.10029358874999161,0.10131433750001406,1007.7462100002776
100000,P3,Comp,0.1918776424998896,0.19053717950004057,0.1932252937500607,1918.776424998896
100000,P3,Gen,0.19297204849999616,0.19195256200003996,0.19397954275012808,1929.7204849999614
100000,P3,Numpy,0.0010874325000713725,0.0010835077499677936,0.0011339342499923077,10.874325000713725
1000000,P1,For,0.10525493700004063,0.10410288649990207,0.10584529499999462,105.25493700004063
1000000,P1,Comp,0.10316923100003805,0.10242388875008146,0.10413192374994651,103.16923100003805
1000000,P1,Gen,0.11423920350000571,0.11314322500010121,0.11490096825002638,114.23920350000571
1000000,P1,Numpy,0.0012574405001259947,0.001222311749927485,0.0013015080000400303,1.2574405001259947
1000000,P2,For,0.7430936744999599,0.7386776684999745,0.7464556139998422,743.0936744999599
1000000,P2,Comp,0.8696572355000853,0.8672453627499976,0.8747295942503115,869.6572355000853
1000000,P2,Gen,0.902515175499957,0.8982105447498725,0.9063462667500062,902.515175499957
1000000,P2,Numpy,0.0013995830001931608,0.001355269999748998,0.0015602012500721685,1.3995830001931608
1000000,P3,For,1.0017478560000654,0.9971183007498894,1.0065449290002562,1001.7478560000654
1000000,P3,Comp,1.9196701604998907,1.9141974389999632,1.928249798500019,1919.6701604998907
1000000,P3,Gen,1.952680786999963,1.9438552887497735,1.9567138715000283,1952.680786999963
1000000,P3,Numpy,0.014576132000001962,0.014262298250173444,0.01561822300016047,14.576132000001962
